Target_genes	Tcf7|Average	SRX3154102|CD4-Positive_T-Lymphocytes	SRX4667998|CD4-Positive_T-Lymphocytes	SRX4668000|CD4-Positive_T-Lymphocytes	SRX1411153|CD4_CD8_double_positive_cells	SRX1267280|CD8-Positive_T-Lymphocytes	SRX1267281|CD8-Positive_T-Lymphocytes	SRX373141|CD8-Positive_T-Lymphocytes	SRX092472|EML_	SRX2438808|Natural_Killer_T-Cells	SRX2438811|Natural_Killer_T-Cells	SRX3154101|Tfh	SRX1411151|Thymocytes	SRX1411152|Thymocytes	SRX1411163|Thymocytes	SRX275397|Thymus	SRX389596|Thymus	SRX4667999|Treg	STRING
Anxa5	36.764706	0	67	0	0	0	0	0	0	0	0	0	0	0	165	234	159	0	0
Ak4	36.764706	0	0	0	0	0	0	0	0	0	0	0	0	268	357	0	0	0	0
1810062G17Rik	36.764706	0	67	0	0	0	0	0	0	0	0	0	0	0	165	234	159	0	0
Wasf2	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	273	351	0	0	0	0
Vstm2b	36.705882	0	0	0	115	0	0	0	0	0	0	0	0	423	86	0	0	0	0
Usf2	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	430	194	0	0	0	0
Tspan5	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	355	269	0	0	0	0
Stard4	36.705882	0	0	0	0	0	0	0	120	0	0	0	0	0	223	182	99	0	0
Mthfd2l	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	194	430	0	0	0	0
Man1a	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	365	259	0	0	0	0
Gadd45gip1	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	303	321	0	0	0	0
Fam53b	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	313	311	0	0	0	0
Cplx2	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	430	194	0	0	0	0
Clcn4	36.705882	0	0	0	0	0	0	0	114	0	0	0	0	0	510	0	0	0	0
Celf6	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	283	341	0	0	0	0
Brd4	36.705882	0	0	0	0	142	0	0	93	0	0	0	0	206	183	0	0	0	0
Ahnak	36.705882	0	0	0	0	0	0	0	0	0	0	0	0	355	269	0	0	0	0
Rbp4	36.647059	0	0	0	194	0	0	0	0	0	0	0	0	206	223	0	0	0	0
Rbfa	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	365	258	0	0	0	0
Prr13	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	309	314	0	0
Plppr4	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	334	289	0	0	0	0
Oxnad1	36.647059	0	0	0	0	0	0	0	141	0	0	0	0	0	96	247	139	0	0
Lemd3	36.647059	0	0	0	0	0	0	0	143	0	0	0	0	226	254	0	0	0	0
Ing2	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	269	217	137	0	0	0
Gpr135	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	395	228	0	0	0	0
Dph3	36.647059	0	0	0	0	0	0	0	141	0	0	0	0	0	96	247	139	0	0
Dgkh	36.647059	0	0	0	0	0	0	0	0	0	0	0	135	243	245	0	0	0	0
Chchd6	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	313	310	0	0	0	0
C2cd2l	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	365	258	0	0	0	0
Ankrd11	36.647059	0	0	0	0	0	0	0	176	0	0	0	0	197	136	114	0	0	0
Acan	36.647059	0	0	0	0	0	0	0	0	0	0	0	0	324	299	0	0	0	0
Zer1	36.588235	0	0	0	0	0	0	0	110	0	0	0	0	0	197	197	118	0	0
Ywhaz	36.588235	0	0	0	0	0	0	0	138	0	0	0	0	235	141	108	0	0	0
Xrn1	36.588235	0	0	0	0	0	0	0	251	0	0	0	0	0	371	0	0	0	0
Sptssa	36.588235	0	0	0	0	0	0	0	216	0	0	0	0	120	286	0	0	0	0
Mzt2	36.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	412	210	0	0	0
Grm8	36.588235	0	0	0	0	0	0	0	0	0	0	0	0	386	236	0	0	0	0
Acaa1b	36.588235	0	0	0	0	0	0	0	0	0	0	0	0	324	298	0	0	0	0
Xkr4	36.529412	0	0	0	0	0	0	0	0	0	0	0	0	312	309	0	0	0	0
Vps33a	36.529412	0	0	0	0	0	0	0	308	0	0	0	0	0	110	203	0	0	0
Tbl1xr1	36.529412	0	0	0	0	0	0	0	0	0	0	0	0	283	199	139	0	0	0
Nfkbia	36.529412	0	0	0	0	0	0	0	123	0	0	0	0	0	370	128	0	0	0
Mtpn	36.529412	0	0	0	0	0	0	0	104	0	0	0	0	0	355	162	0	0	0
Klc1	36.529412	0	0	0	0	0	0	0	0	0	0	0	0	419	202	0	0	0	0
Kin	36.529412	0	0	0	0	0	0	0	151	0	0	0	0	0	182	288	0	0	0
Fndc3a	36.529412	0	0	0	0	0	0	0	0	0	0	0	0	423	198	0	0	0	0
Dcun1d5	36.529412	0	0	0	0	0	0	0	0	0	0	0	0	235	386	0	0	0	0
Cfap20	36.529412	0	0	0	0	119	0	0	199	0	0	0	0	0	153	150	0	0	0
Atp5c1	36.529412	0	0	0	0	0	0	0	151	0	0	0	0	0	182	288	0	0	0
Zfp637	36.470588	0	0	0	0	0	0	0	0	0	0	0	0	263	357	0	0	0	0
Zfp607a	36.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	155	293	172	0	0
Ywhah	36.470588	0	0	0	0	0	0	0	159	0	0	0	0	225	236	0	0	0	0
Tfap2a	36.470588	0	0	0	0	0	0	0	0	0	0	0	0	474	146	0	0	0	0
Mtss1	36.470588	0	0	0	0	0	0	0	116	0	0	0	0	283	221	0	0	0	0
Mbip	36.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	289	193	138	0	0
Mbd2	36.470588	0	0	0	0	0	0	0	120	0	0	0	0	263	237	0	0	0	0
Dctn6	36.470588	0	0	0	0	0	0	0	148	0	0	0	0	0	289	183	0	0	0
Atp6v0b	36.470588	0	0	0	0	0	0	0	197	0	0	0	0	333	90	0	0	0	0
Ankrd33b	36.470588	0	0	0	0	0	0	0	0	0	0	0	0	419	201	0	0	0	0
Taf15	36.411765	0	0	0	0	0	0	0	240	0	0	0	0	0	174	205	0	0	0
Slc7a2	36.411765	0	0	0	0	0	0	0	0	0	0	0	0	296	323	0	0	0	0
Rrp8	36.411765	0	0	0	0	0	0	0	163	0	0	0	0	0	268	188	0	0	0
Rfc5	36.411765	0	0	0	0	0	0	0	89	0	0	0	0	216	314	0	0	0	0
Ptchd4	36.411765	0	0	0	0	0	0	0	0	0	0	0	0	376	243	0	0	0	0
P4ha1	36.411765	0	0	0	0	0	0	0	242	0	0	0	0	0	259	118	0	0	0
Mapk8	36.411765	0	0	0	0	0	0	0	116	0	0	0	0	244	259	0	0	0	0
Ilk	36.411765	0	0	0	0	0	0	0	163	0	0	0	0	0	268	188	0	0	0
Efcab11	36.411765	0	0	0	0	0	0	0	92	0	0	0	0	0	132	273	122	0	0
Xpr1	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	324	294	0	0	0	0
Tsga8	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	197	421	0	0	0	0
Tm6sf1	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	254	260	0	104	0	0
Setd4	36.352941	0	0	0	0	0	0	0	107	0	0	0	0	0	336	175	0	0	0
Rufy2	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	273	345	0	0	0	0
Plekho1	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	365	253	0	0	0	0
Mrpl2	36.352941	0	137	0	0	93	0	0	172	0	0	0	0	0	0	216	0	0	0
Klc4	36.352941	0	137	0	0	93	0	0	172	0	0	0	0	0	0	216	0	0	0
Fnbp1	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	355	263	0	0	0	0
Fign	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	324	294	0	0	0	0
Coq10b	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	225	307	86	0	0	0
Chst11	36.352941	0	0	0	0	0	0	0	0	0	0	0	0	376	242	0	0	0	0
Zfp282	36.294118	0	0	0	0	0	0	0	100	0	0	0	0	216	301	0	0	0	0
Vcpip1	36.294118	0	0	0	0	0	0	0	181	0	0	71	0	0	248	117	0	0	0
Slc5a3	36.294118	0	0	0	0	0	0	0	112	0	0	0	0	313	192	0	0	0	0
Slc31a2	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	273	344	0	0	0	0
Rai1	36.294118	0	0	0	0	0	0	0	92	0	0	0	0	324	201	0	0	0	0
Podxl2	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	403	214	0	0	0	0
Myf6	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0
Mrps6	36.294118	0	0	0	0	0	0	0	112	0	0	0	0	313	192	0	0	0	0
Gm11937	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	617	0	0	0	0
Flnc	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	355	262	0	0	0	0
Dlgap2	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	417	200	0	0	0	0
Chrna3	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	303	314	0	0	0	0
Abcb7	36.294118	0	0	0	0	0	0	0	0	0	0	0	0	0	223	206	188	0	0
Sc5d	36.235294	0	0	0	0	0	0	0	0	0	0	0	0	197	162	171	0	86	0
Prdm15	36.235294	0	0	0	0	0	0	0	202	0	0	0	0	0	305	109	0	0	0
Nap1l4	36.235294	0	0	0	0	0	0	0	71	0	0	0	0	120	301	124	0	0	0
Mars1	36.235294	0	0	0	0	0	0	0	98	0	0	0	0	0	171	347	0	0	0
Igsf3	36.235294	0	0	0	0	0	0	0	0	0	0	0	0	352	264	0	0	0	0
Fam78b	36.235294	0	0	0	115	0	0	0	0	0	0	0	0	315	186	0	0	0	0
Cwc27	36.235294	0	0	0	0	0	0	0	382	0	0	0	0	0	75	159	0	0	0
Chd7	36.235294	0	0	0	0	0	0	0	0	0	0	0	0	277	339	0	0	0	0
Atad1	36.235294	0	0	0	0	0	0	0	110	0	0	0	0	0	350	156	0	0	0
Zfp955b	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	486	129	0	0	0
Tmem51	36.176471	0	0	0	103	0	0	0	0	0	0	0	0	313	199	0	0	0	0
Sox3	36.176471	0	0	0	188	0	0	0	0	0	0	0	0	316	111	0	0	0	0
Slc30a4	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	324	291	0	0	0	0
Pot1a	36.176471	0	0	0	0	0	0	0	120	0	0	0	0	0	128	256	111	0	0
Nup85	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	372	243	0	0	0
Krtap10-4	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	0	615	0	0	0	0
Gng4	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	386	229	0	0	0	0
Fmnl1	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	413	202	0	0	0	0
Fbln5	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	313	302	0	0	0	0
Fam89b	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	334	171	110	0	0	0
Atn1	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	293	322	0	0	0	0
Akt1	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	463	152	0	0	0	0
Agtpbp1	36.176471	0	0	0	0	0	0	0	0	0	0	0	0	344	271	0	0	0	0
Adprh	36.176471	0	0	0	0	0	0	0	118	0	0	0	0	145	251	101	0	0	0
Zic2	36.117647	0	0	0	102	0	0	0	0	0	0	0	0	346	166	0	0	0	0
Xpc	36.117647	0	0	0	0	0	0	0	124	0	0	0	0	0	350	140	0	0	0
Wee1	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	365	249	0	0	0	0
Unc5a	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	434	180	0	0	0	0
Txndc9	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	141	390	83	0	0	0
Pitx1	36.117647	0	0	0	140	0	0	0	0	0	0	0	0	388	86	0	0	0	0
Pik3c2a	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	303	311	0	0	0	0
Mllt1	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	376	238	0	0	0	0
Lsm3	36.117647	0	0	0	0	0	0	0	124	0	0	0	0	0	350	140	0	0	0
Itpkb	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	254	135	0	225	0	0
Grin3b	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0	0
Gm45618	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	0	614	0	0	0	0
Ccn2	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	273	341	0	0	0	0
Atxn1	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	387	227	0	0	0	0
Afap1l2	36.117647	0	0	0	0	0	0	0	0	0	0	0	0	376	238	0	0	0	0
Txnrd1	36.058824	0	0	0	0	0	0	0	139	0	0	0	0	235	239	0	0	0	0
Tom1l1	36.058824	0	0	0	0	0	0	0	0	0	0	0	0	344	269	0	0	0	0
Slc38a9	36.058824	0	0	0	0	0	0	0	0	0	0	0	0	0	372	122	119	0	0
Slc16a3	36.058824	0	0	0	0	0	0	0	0	0	0	0	0	463	150	0	0	0	0
Lgals3	36.058824	0	0	0	0	0	0	0	0	0	0	0	0	188	425	0	0	0	0
Ikbkb	36.058824	0	0	0	0	0	0	0	82	0	0	0	0	313	218	0	0	0	0
Hells	36.058824	0	0	0	0	0	0	0	78	0	0	0	0	273	262	0	0	0	0
Gmfb	36.058824	0	0	0	0	0	0	0	286	0	0	0	0	0	174	153	0	0	0
Snrpf	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	324	288	0	0	0	0
Slain1	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	350	262	0	0	0	0
Rnf138	36.000000	0	0	0	0	0	0	0	103	0	0	0	0	235	274	0	0	0	0
Phrf1	36.000000	0	0	0	0	0	0	0	102	0	0	0	0	188	322	0	0	0	0
Nutf2	36.000000	0	0	0	0	0	0	0	133	0	0	0	0	313	166	0	0	0	0
Mcub	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	254	358	0	0	0	0
Kazald1	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	273	339	0	0	0	0
Hagh	36.000000	0	0	0	0	0	0	0	100	0	0	0	0	216	296	0	0	0	0
Fahd1	36.000000	0	0	0	0	0	0	0	100	0	0	0	0	216	296	0	0	0	0
Engase	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	344	268	0	0	0	0
Cyc1	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	324	288	0	0	0	0
Cpne9	36.000000	0	0	0	0	0	0	0	0	0	0	0	0	397	215	0	0	0	0
Zfp202	35.941176	0	0	0	0	0	0	0	0	0	0	0	0	344	267	0	0	0	0
Zbtb25	35.941176	0	0	0	0	0	0	0	120	0	0	0	0	297	194	0	0	0	0
Washc5	35.941176	0	0	0	0	0	0	0	166	0	0	0	0	0	316	129	0	0	0
Utp23	35.941176	0	0	0	0	0	0	0	0	0	0	0	0	0	289	322	0	0	0
Uhrf1bp1	35.941176	0	0	0	167	0	0	0	0	0	0	0	0	206	238	0	0	0	0
Tmed5	35.941176	0	0	0	0	0	0	0	116	0	0	0	0	0	382	113	0	0	0
Serinc3	35.941176	0	0	0	0	0	0	0	200	0	0	0	0	197	214	0	0	0	0
Scarb2	35.941176	0	0	0	0	0	0	0	143	0	0	0	0	128	240	100	0	0	0
Pik3r1	35.941176	0	0	0	0	0	0	0	101	0	0	0	0	273	237	0	0	0	0
Nsmce2	35.941176	0	0	0	0	0	0	0	166	0	0	0	0	0	316	129	0	0	0
Man2c1	35.941176	0	0	0	0	0	0	0	257	0	0	0	0	0	235	119	0	0	0
Gnaq	35.941176	0	0	0	0	0	0	0	0	0	0	0	0	342	269	0	0	0	0
Fam163b	35.941176	0	0	0	0	0	0	0	0	0	0	0	0	244	367	0	0	0	0
Ctdsp1	35.941176	0	0	0	0	0	0	0	68	0	0	0	0	206	117	220	0	0	0
Ccdc18	35.941176	0	0	0	0	0	0	0	116	0	0	0	0	0	382	113	0	0	0
Wdr34	35.882353	0	0	0	0	0	0	0	304	0	0	0	0	0	306	0	0	0	0
Wdr3	35.882353	0	0	0	0	135	0	0	0	0	0	0	0	0	374	101	0	0	0
Ttc28	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	395	215	0	0	0	0
Tgds	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	427	183	0	0
Sirt6	35.882353	0	0	0	0	0	0	0	164	0	0	0	0	0	145	301	0	0	0
Rabl2	35.882353	0	0	0	0	0	0	0	316	0	0	0	0	0	294	0	0	0	0
Pitpna	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	376	234	0	0	0	0
Lrba	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	317	293	0	0	0	0
Lamc1	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	370	240	0	0	0	0
Hsd17b12	35.882353	0	0	0	0	0	0	0	173	0	0	0	0	0	330	107	0	0	0
Fmnl3	35.882353	0	0	0	0	0	0	0	182	0	0	0	0	303	125	0	0	0	0
Copb2	35.882353	0	0	0	0	0	0	0	101	0	0	0	0	0	364	145	0	0	0
Cln6	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	365	245	0	0	0	0
Ap2a2	35.882353	0	0	0	127	0	0	0	0	0	0	0	0	293	190	0	0	0	0
1190005I06Rik	35.882353	0	0	0	0	0	0	0	0	0	0	0	0	419	191	0	0	0	0
St3gal4	35.823529	0	0	0	103	0	0	0	0	0	0	0	0	313	193	0	0	0	0
Slc35g1	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	376	233	0	0	0	0
Slc35d3	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	463	146	0	0	0	0
Rasgrf1	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	397	212	0	0	0	0
Pus10	35.823529	0	0	0	0	0	0	0	123	0	0	0	0	0	297	189	0	0	0
Ppp1cb	35.823529	0	0	0	0	0	0	0	90	0	0	0	0	0	211	177	131	0	0
Pex13	35.823529	0	0	0	0	0	0	0	123	0	0	0	0	0	297	189	0	0	0
Pacrgl	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	216	276	117	0	0	0
Osbpl9	35.823529	0	0	0	0	84	0	0	0	0	0	0	0	0	316	209	0	0	0
Mxi1	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	365	244	0	0	0	0
Med20	35.823529	0	0	0	0	0	0	0	136	0	0	0	0	0	295	178	0	0	0
Lgi3	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	419	190	0	0	0	0
Hlf	35.823529	0	0	0	0	0	0	0	125	0	0	0	0	293	191	0	0	0	0
Gpr176	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	353	256	0	0	0	0
Ggps1	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	293	196	120	0	0	0
Fam160b1	35.823529	0	0	0	0	0	0	0	212	0	0	0	0	153	244	0	0	0	0
Creld2	35.823529	0	0	0	0	104	0	0	0	0	0	0	0	206	178	121	0	0	0
Cdh1	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	408	201	0	0	0	0
Cdca7	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	179	430	0	0	0	0
Bysl	35.823529	0	0	0	0	0	0	0	136	0	0	0	0	0	295	178	0	0	0
Bora	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	293	316	0	0	0	0
Arid4b	35.823529	0	0	0	0	0	0	0	0	0	0	0	0	293	196	120	0	0	0
Alg12	35.823529	0	0	0	0	104	0	0	0	0	0	0	0	206	178	121	0	0	0
Abcf1	35.823529	0	0	0	0	115	0	0	0	0	0	0	0	225	148	121	0	0	0
Uso1	35.764706	0	0	0	0	0	0	0	113	0	0	0	0	151	116	228	0	0	0
Tubb4b	35.764706	0	0	0	0	0	0	0	246	0	0	0	0	0	211	151	0	0	0
Shox2	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	383	225	0	0	0	0
Ppp4r1	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	394	214	0	0	0	0
Plekha3	35.764706	0	0	0	0	0	0	0	95	0	0	0	0	128	385	0	0	0	0
Phf21b	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	406	202	0	0	0	0
Pcx	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	0	411	197	0	0	0
Nos1ap	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	371	237	0	0	0	0
Jph3	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	365	243	0	0	0	0
Cdc7	35.764706	0	0	0	0	0	0	0	0	0	0	0	0	0	438	170	0	0	0
Appl1	35.764706	0	0	0	0	0	0	0	80	0	0	0	0	206	322	0	0	0	0
Trit1	35.705882	0	0	0	0	0	0	0	99	0	0	0	0	0	366	142	0	0	0
Ss18	35.705882	0	0	0	0	0	0	0	103	0	0	0	0	275	229	0	0	0	0
Shank3	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	452	155	0	0	0	0
Obscn	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	441	166	0	0	0	0
Nsd1	35.705882	0	0	0	165	0	0	0	0	0	0	0	0	272	170	0	0	0	0
Nfil3	35.705882	0	0	0	0	0	0	0	139	0	0	0	0	280	188	0	0	0	0
Ncstn	35.705882	0	0	0	0	0	0	0	124	0	0	0	0	0	128	217	138	0	0
Map3k7	35.705882	0	0	0	0	0	0	0	173	0	0	0	0	0	300	134	0	0	0
Krtap3-1	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0
Ifnlr1	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	313	294	0	0	0	0
Gm10499	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	225	382	0	0	0	0
Fam219b	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	293	187	127	0	0	0
Exosc8	35.705882	0	0	0	0	0	0	0	220	0	0	0	0	128	259	0	0	0	0
Ctnna1	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	375	232	0	0	0	0
Copa	35.705882	0	0	0	0	0	0	0	124	0	0	0	0	0	128	217	138	0	0
Catspere2	35.705882	0	0	0	0	0	0	0	0	0	0	0	0	0	607	0	0	0	0
Alg5	35.705882	0	0	0	0	0	0	0	220	0	0	0	0	128	259	0	0	0	0
Zfp407	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	179	263	164	0	0	0
Tmem9b	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	206	296	104	0	0	0
Stau1	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	273	333	0	0	0	0
Ssx2ip	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	406	200	0	0	0	0
Sdk1	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	353	253	0	0	0	0
Rnf157	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	253	353	0	0	0	0
Ndufaf5	35.647059	0	0	0	0	0	0	0	146	0	0	0	0	0	186	274	0	0	0
Ncam2	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	283	323	0	0	0	0
Gtpbp1	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	322	284	0	0	0	0
Fbxl5	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	263	343	0	0	0	0
Fbl	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	386	220	0	0	0	0
Fam171a2	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	366	240	0	0	0	0
Esf1	35.647059	0	0	0	0	0	0	0	146	0	0	0	0	0	186	274	0	0	0
Ergic1	35.647059	0	0	0	0	0	0	0	0	0	0	0	0	386	220	0	0	0	0
Zfp423	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	412	193	0	0	0	0
Rrbp1	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	350	255	0	0	0	0
Pth1r	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	365	240	0	0	0	0
Prmt9	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	303	302	0	0	0	0
Ocln	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	303	302	0	0	0	0
Myo16	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	170	435	0	0	0	0
Map3k1	35.588235	0	260	0	0	0	0	0	0	0	0	0	0	186	159	0	0	0	0
Lypd2	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	303	302	0	0	0	0
Krtap4-6	35.588235	0	0	0	0	0	0	0	0	0	0	0	0	0	605	0	0	0	0
Arhgap30	35.588235	0	0	0	0	0	0	0	179	0	0	0	0	0	0	310	116	0	0
Zswim9	35.529412	0	0	0	0	0	0	0	89	0	0	0	0	0	358	157	0	0	0
Zfp1	35.529412	0	0	0	0	0	0	0	106	0	0	0	0	206	208	84	0	0	0
Stxbp1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	365	239	0	0	0	0
Spint2	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	344	260	0	0	0	0
Shisa9	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	361	243	0	0	0	0
Rasgef1c	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	253	351	0	0	0	0
Prima1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	304	300	0	0	0	0
Otop1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	188	416	0	0	0	0
Nsg1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	382	222	0	0	0	0
Mafa	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	364	125	115	0	0	0
Lig1	35.529412	0	0	0	0	0	0	0	89	0	0	0	0	0	358	157	0	0	0
Jmy	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	196	289	0	119	0	0
Irf1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	283	321	0	0	0	0
Dlg1	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	206	398	0	0	0	0
Bicd2	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	197	207	200	0	0	0
Baz2b	35.529412	0	0	0	0	0	0	0	106	0	0	0	0	235	263	0	0	0	0
Arl4c	35.529412	0	0	0	0	0	0	0	0	0	0	0	0	297	307	0	0	0	0
Zfp580	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	446	157	0	0	0	0
Zdhhc23	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	329	274	0	0	0	0
Ttc33	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	441	162	0	0	0	0
Sox1	35.470588	0	0	0	230	0	0	0	0	0	0	0	0	275	98	0	0	0	0
Sec63	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	344	259	0	0	0	0
Nkain3	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	206	397	0	0	0	0
Mcat	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	365	238	0	0	0	0
Hps4	35.470588	0	0	0	0	0	0	0	179	0	0	0	0	244	180	0	0	0	0
Hccs	35.470588	0	0	0	0	0	0	0	72	0	0	0	0	273	258	0	0	0	0
H2-Q10	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	175	428	0	0	0	0
Gm4559	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	0	603	0	0	0	0
Gm15246	35.470588	0	0	0	0	0	0	0	72	0	0	0	0	273	258	0	0	0	0
Gab1	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	342	261	0	0	0	0
Fam174a	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	273	330	0	0	0	0
Chst10	35.470588	0	0	0	0	0	0	0	0	0	0	0	0	303	189	111	0	0	0
